TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
43186.01614958,1.000000,23.47656,84.47266,1.000000,108.5000,4.160000
43186.01626550,1.000000,22.98828,84.47266,1.000000,134.9000,10.40000
43186.01638141,1.000000,23.47656,84.47266,1.000000,115.0000,6.740000
43186.01649733,1.000000,22.98828,84.47266,1.000000,118.2000,9.450000
43186.01661325,1.000000,23.47656,84.96094,1.000000,144.8000,5.450000
43186.01672934,1.000000,23.47656,84.96094,1.000000,134.8000,3.860000
43186.01684526,1.000000,23.47656,84.47266,1.000000,176.7000,2.180000
43186.01696118,1.000000,23.47656,84.47266,1.000000,167.4000,5.210000
43186.01707709,1.000000,23.47656,84.96094,1.000000,127.4000,4.170000
43186.01719301,1.000000,23.47656,84.96094,1.000000,148.0000,4.750000
43186.01730893,1.000000,23.47656,84.47266,1.000000,151.3000,4.920000
43186.01742484,1.000000,23.47656,84.47266,1.000000,134.1000,5.580000
43186.01754076,1.000000,22.98828,84.96094,1.000000,112.1000,5.330000
43186.01765668,1.000000,23.47656,84.96094,1.000000,137.7000,7.280000
43186.01777259,1.000000,22.98828,84.47266,1.000000,153.1000,6.220000
43186.01788851,1.000000,23.47656,84.96094,1.000000,129.0000,5.530000
43186.01800443,1.000000,22.98828,84.47266,1.000000,176.1000,7.180000
43186.01812034,1.000000,23.47656,84.96094,1.000000,149.8000,8.660000
43186.01823626,1.000000,22.98828,84.96094,1.000000,168.7000,7.500000
43186.01835218,1.000000,23.47656,84.96094,1.000000,158.2000,8.480000
43186.01846809,1.000000,22.98828,84.96094,1.000000,144.9000,4.910000
43186.01858401,1.000000,23.47656,84.47266,1.000000,154.7000,7.910000
43186.01869993,1.000000,23.47656,84.96094,1.000000,132.2000,6.520000
43186.01881584,1.000000,23.47656,84.96094,1.000000,142.6000,5.310000
43186.01893176,1.000000,23.47656,84.96094,1.000000,155.2000,4.940000
43186.01904768,1.000000,23.47656,84.96094,1.000000,161.7000,5.920000
43186.01916359,1.000000,23.47656,84.96094,1.000000,162.8000,4.560000
43186.01927951,1.000000,23.47656,84.96094,1.000000,160.2000,3.120000
43186.01939543,1.000000,22.98828,85.44922,1.000000,141.9000,6.220000
43186.01951152,1.000000,23.47656,84.96094,1.000000,103.9000,4.210000
43186.01962744,1.000000,23.47656,84.96094,1.000000,128.7000,5.780000
43186.01974336,1.000000,22.98828,84.96094,1.000000,153.8000,9.190000
43186.01985927,1.000000,23.47656,84.96094,1.000000,149.0000,6.780000
43186.01997519,1.000000,22.98828,84.96094,1.000000,134.9000,5.130000
43186.02009111,1.000000,23.47656,84.47266,1.000000,140.9000,5.500000
43186.02020702,1.000000,23.47656,84.96094,1.000000,132.6000,8.940000
43186.02032294,1.000000,23.47656,84.96094,1.000000,146.8000,5.170000
43186.02043886,1.000000,23.47656,84.47266,1.000000,142.9000,6.230000
43186.02055477,1.000000,22.98828,84.96094,1.000000,135.9000,4.610000
43186.02067069,1.000000,23.47656,84.96094,1.000000,125.8000,3.980000
43186.02078661,1.000000,22.98828,84.96094,1.000000,159.7000,3.430000
43186.02090252,1.000000,23.47656,84.96094,1.000000,149.1000,5.700000
43186.02101836,1.000000,23.47656,84.96094,1.000000,167.9000,4.370000
43186.02113428,1.000000,23.47656,84.47266,1.000000,147.2000,4.600000
43186.02125019,1.000000,23.47656,84.47266,1.000000,140.8000,5.590000
43186.02136611,1.000000,22.98828,84.47266,1.000000,133.3000,5.280000
43186.02148203,1.000000,23.47656,84.96094,1.000000,151.3000,3.870000
43186.02159794,1.000000,22.98828,84.96094,1.000000,139.5000,4.710000
43186.02171386,1.000000,23.47656,84.47266,1.000000,138.7000,6.070000
43186.02182978,1.000000,23.47656,84.96094,1.000000,140.8000,4.100000
43186.02194569,1.000000,23.47656,84.96094,1.000000,145.8000,5.710000
43186.02206161,1.000000,23.47656,84.47266,1.000000,122.7000,4.810000
43186.02217753,1.000000,22.98828,84.47266,1.000000,133.4000,3.050000
43186.02229344,1.000000,22.98828,84.96094,1.000000,145.8000,3.610000
43186.02240936,1.000000,22.98828,84.96094,1.000000,153.3000,4.030000
43186.02252528,1.000000,23.47656,84.96094,1.000000,142.0000,5.430000
43186.02264119,1.000000,23.47656,83.98438,1.000000,138.6000,6.640000
43186.02275711,1.000000,22.98828,84.47266,1.000000,135.2000,4.430000
43186.02287303,1.000000,23.47656,84.96094,1.000000,136.9000,7.690000
43186.02298931,1.000000,23.47656,84.96094,1.000000,146.2000,5.360000
43186.02310522,1.000000,22.98828,84.47266,1.000000,130.3000,7.200000
43186.02322114,1.000000,23.47656,84.96094,1.000000,129.2000,5.750000
43186.02333706,1.000000,23.47656,84.47266,1.000000,142.0000,5.350000
43186.02345297,1.000000,23.47656,84.47266,1.000000,167.0000,4.980000
43186.02356889,1.000000,23.47656,84.47266,1.000000,154.2000,4.460000
43186.02368499,1.000000,23.47656,84.96094,1.000000,140.2000,4.040000
43186.02380090,1.000000,23.47656,84.96094,1.000000,136.4000,6.130000
43186.02391682,1.000000,22.98828,84.96094,1.000000,174.9000,8.060000
43186.02403310,1.000000,22.98828,84.47266,1.000000,142.7000,9.070000
43186.02414901,1.000000,22.98828,84.96094,1.000000,125.4000,9.360000
43186.02426493,1.000000,23.47656,84.96094,1.000000,144.1000,8.390000
43186.02438085,1.000000,23.47656,84.47266,1.000000,141.7000,7.920000
43186.02449676,1.000000,23.47656,84.47266,1.000000,162.3000,8.700000
43186.02461268,1.000000,22.98828,83.98438,1.000000,150.1000,6.040000
43186.02472860,1.000000,22.98828,84.47266,1.000000,149.5000,6.500000
43186.02484451,1.000000,23.47656,84.47266,1.000000,173.7000,6.940000
43186.02496043,1.000000,22.98828,84.47266,1.000000,161.5000,5.700000
43186.02507635,1.000000,23.47656,84.47266,1.000000,143.0000,7.510000
43186.02519226,1.000000,23.47656,84.47266,1.000000,150.7000,7.610000
43186.02530818,1.000000,23.47656,84.47266,1.000000,154.9000,6.960000
43186.02542410,1.000000,23.47656,84.47266,1.000000,126.3000,6.090000
43186.02554001,1.000000,23.47656,84.96094,1.000000,151.9000,5.190000
43186.02565593,1.000000,23.47656,84.96094,1.000000,162.0000,6.840000
43186.02577185,1.000000,23.47656,84.96094,1.000000,159.4000,7.650000
43186.02588776,1.000000,22.98828,84.96094,1.000000,142.4000,4.800000
43186.02600368,1.000000,23.47656,84.96094,1.000000,159.1000,4.120000
43186.02611960,1.000000,23.47656,84.47266,1.000000,156.6000,6.440000
43186.02623551,1.000000,23.47656,84.96094,1.000000,158.8000,7.440000
43186.02635143,1.000000,23.47656,84.47266,1.000000,151.3000,5.660000
43186.02646735,1.000000,23.47656,84.47266,1.000000,111.5000,6.140000
43186.02658326,1.000000,23.47656,84.96094,1.000000,80.60000,0.7800000
43186.02669936,1.000000,23.47656,84.47266,1.000000,125.6000,5.510000
43186.02681528,1.000000,23.47656,84.96094,1.000000,138.2000,6.850000
43186.02693119,1.000000,22.98828,84.96094,1.000000,129.5000,5.680000
43186.02704711,1.000000,23.47656,84.96094,1.000000,154.1000,7.610000
43186.02716321,1.000000,23.47656,84.96094,1.000000,176.8000,4.460000
43186.02727913,1.000000,23.47656,84.96094,1.000000,143.3000,5.090000
43186.02739504,1.000000,23.47656,84.47266,1.000000,136.6000,5.940000
43186.02751114,1.000000,23.47656,84.47266,1.000000,128.0000,6.530000
43186.02762706,1.000000,23.47656,84.47266,1.000000,137.8000,4.450000
43186.02774297,1.000000,23.47656,84.47266,1.000000,161.7000,6.530000
43186.02785889,1.000000,22.98828,84.47266,1.000000,151.2000,7.260000
43186.02797481,1.000000,23.47656,84.47266,1.000000,130.1000,4.050000
43186.02809072,1.000000,23.47656,84.47266,1.000000,117.6000,4.170000
43186.02820664,1.000000,23.47656,84.47266,1.000000,134.7000,4.400000
43186.02832256,1.000000,22.98828,84.47266,1.000000,170.4000,4.680000
43186.02843847,1.000000,23.47656,84.47266,1.000000,139.1000,4.000000
43186.02855439,1.000000,22.98828,84.47266,1.000000,153.2000,8.170000
43186.02867031,1.000000,22.98828,84.47266,1.000000,147.7000,8.910000
43186.02878622,1.000000,22.98828,83.98438,1.000000,162.6000,7.190000
43186.02890214,1.000000,23.47656,83.98438,1.000000,155.2000,5.480000
43186.02901806,1.000000,23.47656,83.98438,1.000000,172.3000,5.150000
43186.02913397,1.000000,23.47656,84.47266,1.000000,153.7000,8.800000
43186.02924989,1.000000,22.98828,84.47266,1.000000,144.0000,4.540000
43186.02936581,1.000000,23.47656,84.47266,1.000000,137.1000,5.520000
43186.02948172,1.000000,23.47656,84.47266,1.000000,170.4000,6.000000
43186.02959764,1.000000,22.98828,83.98438,1.000000,141.4000,3.910000
43186.02971356,1.000000,23.47656,84.47266,1.000000,148.3000,3.650000
43186.02982947,1.000000,23.47656,84.47266,1.000000,149.6000,3.420000
43186.02994539,1.000000,22.98828,84.47266,1.000000,199.1000,4.160000
43186.03006131,1.000000,23.47656,83.98438,1.000000,144.1000,3.430000
43186.03017722,1.000000,23.47656,84.96094,1.000000,136.5000,6.760000
43186.03029314,1.000000,23.47656,84.47266,1.000000,157.2000,5.480000
43186.03040906,1.000000,23.47656,84.47266,1.000000,151.1000,7.860000
43186.03052497,1.000000,23.47656,83.98438,1.000000,145.7000,5.940000
43186.03064089,1.000000,23.47656,83.98438,1.000000,174.6000,5.000000
43186.03075681,1.000000,22.98828,83.98438,1.000000,168.7000,8.400000
43186.03087272,1.000000,22.98828,84.47266,1.000000,140.6000,3.330000
43186.03098864,1.000000,22.98828,84.47266,1.000000,170.5000,4.090000
43186.03110456,1.000000,23.96484,84.47266,1.000000,164.2000,7.210000
43186.03122047,1.000000,22.98828,84.47266,1.000000,158.3000,6.920000
43186.03133639,1.000000,23.47656,84.47266,1.000000,167.9000,7.960000
43186.03145231,1.000000,22.98828,83.98438,1.000000,132.7000,4.620000
43186.03156790,1.000000,22.98828,84.47266,1.000000,153.4000,4.080000
43186.03168381,1.000000,22.98828,84.47266,1.000000,163.9000,5.990000
43186.03179973,1.000000,23.47656,84.47266,1.000000,135.5000,3.910000
43186.03191565,1.000000,23.47656,84.47266,1.000000,167.8000,7.030000
43186.03203156,1.000000,23.47656,84.47266,1.000000,149.3000,7.830000
43186.03214748,1.000000,23.47656,83.98438,1.000000,149.8000,5.450000
43186.03226340,1.000000,23.47656,83.98438,1.000000,138.8000,4.260000
43186.03237931,1.000000,23.47656,84.47266,1.000000,159.1000,3.950000
43186.03249523,1.000000,22.98828,83.98438,1.000000,157.5000,3.500000
43186.03261115,1.000000,23.47656,84.47266,1.000000,165.3000,2.830000
43186.03272706,1.000000,22.98828,83.98438,1.000000,155.6000,11.23000
43186.03284298,1.000000,23.47656,83.98438,1.000000,150.3000,7.450000
43186.03295890,1.000000,22.98828,83.98438,1.000000,145.0000,7.320000
43186.03307481,1.000000,23.47656,83.98438,1.000000,151.2000,5.350000
43186.03319073,1.000000,22.98828,83.98438,1.000000,148.2000,4.290000
43186.03330665,1.000000,23.47656,83.98438,1.000000,133.7000,3.280000
43186.03342256,1.000000,22.98828,83.98438,1.000000,100.5000,5.710000
43186.03353848,1.000000,22.98828,83.98438,1.000000,167.0000,6.660000
43186.03365458,1.000000,23.47656,83.98438,1.000000,139.0000,6.700000
43186.03377049,1.000000,23.47656,83.98438,1.000000,144.4000,6.230000
43186.03388641,1.000000,23.47656,83.98438,1.000000,139.2000,8.240000
43186.03400233,1.000000,23.47656,83.98438,1.000000,127.8000,4.570000
43186.03411824,1.000000,23.47656,83.49609,1.000000,131.2000,8.510000
43186.03423416,1.000000,23.47656,83.98438,1.000000,148.2000,4.660000
43186.03435008,1.000000,23.47656,83.98438,1.000000,166.8000,5.650000
43186.03446599,1.000000,23.47656,83.49609,1.000000,114.8000,7.510000
43186.03458191,1.000000,23.47656,84.47266,1.000000,136.6000,5.000000
43186.03469801,1.000000,23.47656,84.47266,1.000000,159.5000,5.320000
43186.03481392,1.000000,22.98828,83.98438,1.000000,161.0000,5.700000
43186.03492984,1.000000,22.98828,83.49609,1.000000,159.3000,4.680000
43186.03504594,1.000000,23.47656,83.98438,1.000000,162.0000,5.420000
43186.03516185,1.000000,22.98828,83.98438,1.000000,149.8000,7.950000
43186.03527795,1.000000,23.47656,83.98438,1.000000,140.1000,6.790000
43186.03539387,1.000000,22.98828,83.98438,1.000000,133.5000,6.600000
43186.03550978,1.000000,22.98828,83.98438,1.000000,165.2000,7.580000
43186.03562570,1.000000,23.47656,83.98438,1.000000,144.1000,5.890000
43186.03574162,1.000000,23.47656,83.98438,1.000000,158.9000,5.650000
43186.03585753,1.000000,23.47656,83.98438,1.000000,136.7000,9.680000
43186.03597345,1.000000,22.98828,84.47266,1.000000,154.4000,5.800000
43186.03608937,1.000000,23.47656,84.47266,1.000000,135.7000,8.080000
43186.03620528,1.000000,23.47656,83.98438,1.000000,151.7000,6.360000
43186.03632120,1.000000,23.47656,83.49609,1.000000,119.9000,8.120000
43186.03643712,1.000000,23.47656,83.98438,1.000000,150.4000,6.100000
43186.03655303,1.000000,22.98828,83.49609,1.000000,177.8000,8.780000
43186.03666895,1.000000,22.98828,83.49609,1.000000,186.1000,3.550000
43186.03678487,1.000000,23.47656,83.98438,1.000000,145.7000,6.990000
43186.03690078,1.000000,23.47656,83.98438,1.000000,148.0000,10.80000
43186.03701670,1.000000,22.98828,83.49609,1.000000,189.3000,6.770000
43186.03713262,1.000000,23.47656,83.98438,1.000000,150.0000,6.430000
43186.03724853,1.000000,23.47656,83.98438,1.000000,166.8000,7.250000
43186.03736445,1.000000,23.47656,83.98438,1.000000,150.5000,6.300000
43186.03748037,1.000000,22.98828,83.98438,1.000000,167.2000,5.470000
43186.03759628,1.000000,23.47656,84.47266,1.000000,176.8000,7.410000
43186.03771220,1.000000,22.98828,83.98438,1.000000,166.3000,6.940000
43186.03782812,1.000000,22.98828,83.98438,1.000000,165.2000,4.610000
43186.03794403,1.000000,23.47656,83.49609,1.000000,146.7000,3.530000
43186.03805995,1.000000,23.47656,84.47266,1.000000,139.6000,3.750000
43186.03817587,1.000000,23.47656,84.47266,1.000000,159.1000,6.800000
43186.03829178,1.000000,22.98828,84.47266,1.000000,154.8000,8.210000
43186.03840770,1.000000,23.47656,84.47266,1.000000,121.6000,8.950000
43186.03852362,1.000000,22.98828,83.98438,1.000000,135.5000,4.780000
43186.03863953,1.000000,23.47656,83.98438,1.000000,154.9000,7.030000
43186.03875545,1.000000,23.47656,83.98438,1.000000,154.2000,7.600000
43186.03887137,1.000000,22.98828,83.98438,1.000000,148.7000,7.070000
43186.03898728,1.000000,22.50000,83.98438,1.000000,168.2000,5.260000
43186.03910320,1.000000,22.98828,83.49609,1.000000,129.3000,4.950000
43186.03921912,1.000000,23.47656,83.98438,1.000000,161.2000,5.280000
43186.03933503,1.000000,22.98828,83.98438,1.000000,154.1000,6.120000
43186.03945095,1.000000,23.47656,83.98438,1.000000,144.6000,8.030000
43186.03956687,1.000000,23.47656,83.49609,1.000000,164.6000,7.740000
43186.03968278,1.000000,22.98828,83.98438,1.000000,146.7000,5.570000
43186.03979870,1.000000,22.98828,83.49609,1.000000,154.6000,5.520000
43186.03991462,1.000000,22.98828,83.98438,1.000000,162.0000,6.460000
43186.04003053,1.000000,23.47656,83.98438,1.000000,162.5000,5.810000
43186.04014645,1.000000,23.47656,83.98438,1.000000,166.7000,5.070000
43186.04026237,1.000000,23.47656,83.98438,1.000000,150.2000,6.880000
43186.04037847,1.000000,22.98828,83.98438,1.000000,147.0000,4.250000
43186.04049438,1.000000,22.98828,83.98438,1.000000,170.4000,5.660000
43186.04061048,1.000000,23.47656,83.98438,1.000000,160.3000,4.080000
43186.04072658,1.000000,23.47656,83.98438,1.000000,144.3000,5.340000
43186.04084249,1.000000,22.98828,83.98438,1.000000,154.8000,5.710000
43186.04095841,1.000000,22.98828,83.98438,1.000000,146.3000,6.570000
43186.04107433,1.000000,22.98828,83.98438,1.000000,144.5000,5.690000
43186.04119024,1.000000,23.47656,84.47266,1.000000,140.1000,4.530000
43186.04130616,1.000000,23.47656,83.98438,1.000000,144.1000,3.250000
43186.04142208,1.000000,23.47656,83.98438,1.000000,138.2000,3.540000
43186.04153799,1.000000,22.98828,83.98438,1.000000,157.9000,4.240000
43186.04165391,1.000000,22.98828,83.98438,1.000000,173.5000,5.790000
43186.04176983,1.000000,22.98828,84.47266,1.000000,155.5000,7.450000
43186.04188574,1.000000,23.47656,83.98438,1.000000,162.6000,5.650000
43186.04200166,1.000000,22.98828,83.98438,1.000000,158.3000,7.330000
43186.04211750,1.000000,23.47656,83.98438,1.000000,158.2000,8.540000
43186.04223342,1.000000,23.47656,83.98438,1.000000,152.9000,5.410000
43186.04234934,1.000000,22.98828,84.47266,1.000000,142.2000,7.460000
43186.04246543,1.000000,22.98828,84.47266,1.000000,132.7000,5.900000
43186.04258135,1.000000,22.98828,83.49609,1.000000,147.6000,3.690000
43186.04269727,1.000000,22.98828,83.49609,1.000000,130.3000,4.950000
43186.04281318,1.000000,23.47656,83.49609,1.000000,165.4000,5.980000
