TheTime,HNET_CCH_O3_conc_ppbv_conv,HNET_CCH_HMP60_Flag,HNET_CCH_O3_Flag,HNET_CCH_HMP60_RH_pct,HNET_CCH_HMP60_Temp_C,HNET_CCH_RMY_Flag,HNET_CCH_RMY_WD_Deg,HNET_CCH_RMY_WS_ms
42541.00621516,12.09590,1.000000,1.000000,83.34961,26.40625,1.000000,119.6000,1.440000
42541.00633108,11.86310,1.000000,1.000000,83.34961,26.40625,1.000000,116.9000,1.380000
42541.00644700,12.20260,1.000000,1.000000,83.34961,26.55273,1.000000,103.7000,0.9300000
42541.00656291,11.62060,1.000000,1.000000,83.25195,26.55273,1.000000,109.5000,0.8400000
42541.00667901,11.89220,1.000000,1.000000,83.34961,26.60156,1.000000,120.1000,1.120000
42541.00679493,12.76520,1.000000,1.000000,83.25195,26.50391,1.000000,132.3000,0.9700000
42541.00691084,12.29960,1.000000,1.000000,83.25195,26.45508,1.000000,113.8000,1.430000
42541.00702676,12.77490,1.000000,1.000000,83.15430,26.55273,1.000000,121.8000,1.030000
42541.00714268,12.50330,1.000000,1.000000,83.10547,26.45508,1.000000,127.8000,1.060000
42541.00725859,11.65940,1.000000,1.000000,83.20313,26.50391,1.000000,116.2000,0.7900000
42541.00737451,12.50330,1.000000,1.000000,83.15430,26.55273,1.000000,118.3000,1.100000
42541.00749043,13.15320,1.000000,1.000000,82.95898,26.60156,1.000000,119.7000,0.9800000
42541.00760634,12.42570,1.000000,1.000000,83.05664,26.45508,1.000000,135.3000,1.250000
42541.00772226,11.85340,1.000000,1.000000,83.10547,26.45508,1.000000,118.3000,0.8900000
42541.00783818,11.47510,1.000000,1.000000,82.95898,26.45508,1.000000,139.6000,0.8400000
42541.00795409,11.94070,1.000000,1.000000,83.05664,26.45508,1.000000,121.6000,1.140000
42541.00807001,12.70700,1.000000,1.000000,83.00781,26.55273,1.000000,117.6000,1.080000
42541.00818593,11.62060,1.000000,1.000000,83.10547,26.60156,1.000000,136.7000,1.000000
42541.00830184,12.00860,1.000000,1.000000,82.91016,26.55273,1.000000,101.3000,1.030000
42541.00841776,12.74580,1.000000,1.000000,82.91016,26.60156,1.000000,118.7000,1.170000
42541.00853368,12.40630,1.000000,1.000000,82.91016,26.50391,1.000000,128.7000,1.320000
42541.00864959,12.77490,1.000000,1.000000,82.81250,26.60156,1.000000,123.6000,1.040000
42541.00876551,12.84280,1.000000,1.000000,82.91016,26.60156,1.000000,124.2000,1.080000
42541.00888143,12.77490,1.000000,1.000000,83.00781,26.55273,1.000000,121.5000,1.360000
42541.00899734,12.63910,1.000000,1.000000,82.91016,26.50391,1.000000,126.4000,0.9500000
42541.00911326,12.93010,1.000000,1.000000,83.05664,26.55273,1.000000,115.1000,1.310000
42541.00922918,12.71670,1.000000,1.000000,83.10547,26.65039,1.000000,113.8000,1.070000
42541.00934509,12.28020,1.000000,1.000000,82.91016,26.60156,1.000000,126.9000,0.9300000
42541.00946119,12.11530,1.000000,1.000000,82.86133,26.55273,1.000000,125.1000,128.7000
42541.00957711,12.05710,1.000000,1.000000,82.86133,26.74805,1.000000,119.0000,1.090000
42541.00969303,11.47510,1.000000,1.000000,82.86133,26.55273,1.000000,133.3000,0.8600000
42541.00980894,11.27140,1.000000,1.000000,82.95898,26.50391,1.000000,116.9000,0.6000000
42541.00992486,12.23170,1.000000,1.000000,83.05664,26.55273,1.000000,131.3000,0.7900000
42541.01004078,12.28990,1.000000,1.000000,82.86133,26.35742,1.000000,118.0000,0.9300000
42541.01015669,12.15410,1.000000,1.000000,83.00781,26.55273,1.000000,113.0000,0.7600000
42541.01027261,11.96980,1.000000,1.000000,82.95898,26.50391,1.000000,119.3000,0.6800000
42541.01038853,12.35780,1.000000,1.000000,83.00781,26.60156,1.000000,98.60000,0.7700000
42541.01050444,11.94070,1.000000,1.000000,82.86133,26.60156,1.000000,126.9000,1.060000
42541.01062036,10.96100,1.000000,1.000000,82.81250,26.65039,1.000000,104.6000,1.040000
42541.01073628,11.92130,1.000000,1.000000,82.91016,26.50391,1.000000,119.7000,1.230000
42541.01085219,12.64880,1.000000,1.000000,82.91016,26.55273,1.000000,124.9000,1.280000
42541.01096811,12.32870,1.000000,1.000000,83.00781,26.65039,1.000000,115.4000,0.8600000
42541.01108403,12.09590,1.000000,1.000000,82.91016,26.65039,1.000000,140.5000,1.370000
42541.01119994,12.01830,1.000000,1.000000,82.91016,26.50391,1.000000,100.3000,0.8000000
42541.01131586,12.39660,1.000000,1.000000,82.91016,26.60156,1.000000,124.5000,1.050000
42541.01143178,12.12500,1.000000,1.000000,82.86133,26.60156,1.000000,105.3000,0.9200000
42541.01154769,12.15410,1.000000,1.000000,82.86133,26.55273,1.000000,119.0000,1.140000
42541.01166361,12.20260,1.000000,1.000000,82.95898,26.55273,1.000000,126.8000,1.380000
42541.01177953,11.55270,1.000000,1.000000,83.00781,26.60156,1.000000,137.1000,0.6500000
42541.01189544,11.60120,1.000000,1.000000,82.95898,26.74805,1.000000,129.2000,0.6900000
42541.01201136,11.79520,1.000000,1.000000,82.86133,26.50391,1.000000,145.3000,1.100000
42541.01212728,12.20260,1.000000,1.000000,82.81250,26.55273,1.000000,121.9000,0.9900000
42541.01224319,12.12500,1.000000,1.000000,82.81250,26.60156,1.000000,130.1000,1.390000
42541.01235911,11.96010,1.000000,1.000000,82.91016,26.40625,1.000000,134.8000,1.160000
42541.01247503,12.17350,1.000000,1.000000,83.00781,26.45508,1.000000,120.1000,1.220000
42541.01259094,12.42570,1.000000,1.000000,82.86133,26.60156,1.000000,125.1000,1.390000
42541.01270686,12.64880,1.000000,1.000000,82.81250,26.65039,1.000000,132.1000,0.9700000
42541.01282278,12.34810,1.000000,1.000000,82.95898,26.65039,1.000000,0.8900000,0
42541.01293869,11.74670,1.000000,1.000000,82.91016,26.50391,1.000000,123.6000,0.7900000
42541.01305461,11.96980,1.000000,1.000000,82.91016,26.65039,1.000000,128.7000,0.8700000
42541.01317053,12.11530,1.000000,1.000000,82.91016,26.60156,1.000000,121.3000,1.230000
42541.01328644,11.71760,1.000000,1.000000,82.76367,26.65039,1.000000,127.6000,0.8300000
42541.01340236,11.22290,1.000000,1.000000,82.81250,26.55273,1.000000,124.7000,0.7500000
42541.01351828,11.73700,1.000000,1.000000,82.86133,26.55273,1.000000,123.9000,0.8800000
42541.01363437,11.53330,1.000000,1.000000,82.91016,26.60156,1.000000,136.3000,0.9100000
42541.01375029,11.45570,1.000000,1.000000,82.91016,26.50391,1.000000,113.3000,0.8700000
42541.01386621,11.04830,1.000000,1.000000,82.81250,26.50391,1.000000,110.0000,0.7200000
42541.01398212,11.05800,1.000000,1.000000,82.91016,26.45508,1.000000,131.3000,0.5100000
42541.01409804,11.25200,1.000000,1.000000,82.81250,26.55273,1.000000,130.9000,0.8700000
42541.01421396,11.02890,1.000000,1.000000,82.81250,26.40625,1.000000,121.6000,1.030000
42541.01432987,11.22290,1.000000,1.000000,82.86133,26.55273,1.000000,115.1000,1.130000
42541.01444579,11.13560,1.000000,1.000000,83.00781,26.55273,1.000000,129.8000,1.000000
42541.01456171,11.81460,1.000000,1.000000,82.95898,26.65039,1.000000,130.4000,0.7300000
